Country Name,Country Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462
Albania,ALB,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
Algeria,DZA,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969
American Samoa,ASM,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035
Andorra,AND,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034
Angola,AGO,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774
Antigua and Barbuda,ATG,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219
Argentina,ARG,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
Armenia,ARM,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974
Aruba,ABW,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537
Australia,AUS,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079
Austria,AUT,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797
Azerbaijan,AZE,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750
"Bahamas, The",BHS,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906
Bahrain,BHR,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265
Bangladesh,BGD,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251
Barbados,BRB,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200
Belarus,BLR,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
Belgium,BEL,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952
Belize,BLZ,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031
Benin,BEN,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895
Bermuda,BMU,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
Bhutan,BTN,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486
Bolivia,BOL,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472
Bosnia and Herzegovina,BIH,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943
Botswana,BWA,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423
Brazil,BRA,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223
British Virgin Islands,VGB,28421,28657,28971,29366,29739,30060,30335,30610,30910,31122
Brunei Darussalam,BRN,406634,411702,416656,421437,425994,430276,434274,438048,441725,445373
Bulgaria,BGR,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743
Burkina Faso,BFA,17113732,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683
Burundi,BDI,9795479,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213
Cabo Verde,CPV,533864,539940,546076,552166,558394,564954,571202,577030,582640,587925
